spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
btg_usd,0.015760042190121313,10,1.7696038261424543,next_week,66.9351,67.99,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30
etc_usd,0.013722801331044646,3,5.250143379173137,this_week,20.8558,21.142,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
eth_usd,0.012373568370592895,3,4.464749205945279,this_week,723.4938,732.446,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
btc_usd,0.008927855139508743,10,1.3832290643115808,next_week,9098.2323,9179.46,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
ltc_usd,0.007754301781958271,3,2.559472009277132,this_week,154.1338,155.329,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
btc_usd,0.0056799714819328355,3,1.9919379070927303,this_week,9098.2323,9149.91,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
eos_usd,0.164866107670211,51,2.9807688763742823,quarter,17.6149,20.519,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btg_usd,0.15314688537360188,51,2.772680353988726,quarter,67.2681,77.57,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04
etc_usd,0.13923809523809522,51,2.542038938821884,quarter,21.0,23.924,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
ltc_usd,0.13889894136172184,51,2.536627793684191,quarter,155.0199,176.552,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
xrp_usd,0.12772264467070493,51,2.363767212637453,quarter,0.7759,0.875,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
bch_usd,0.1275034009624091,51,2.3604802685210475,quarter,1539.4907,1735.781,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
eth_usd,0.10778519894880623,51,2.0804741727222296,quarter,729.1901,807.786,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
eos_usd,0.047635808321364416,10,5.466095309298291,next_week,17.6149,18.454,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
ltc_usd,0.042446808442012846,10,4.5600278747166145,next_week,155.0199,161.6,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
etc_usd,0.037571428571428644,10,3.8428829043269053,next_week,21.0,21.789,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
xrp_usd,0.03234952957855395,10,3.1965160829872237,next_week,0.7759,0.801,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btc_usd,0.026096457474897267,51,1.2024646769899643,quarter,9120.0003,9358.0,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btg_usd,0.024259641642918436,3,18.473849229808092,this_week,67.2681,68.9,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04
eth_usd,0.020913476472047582,10,2.128610451240485,next_week,729.1901,744.44,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
